Quality_assessment	SampleType	MAG_ID	n_contigs	contig_bp	ctg_N50	ctg_L50	gc_avg	Completeness	Contamination	quality_score
High-quality	Feces	fecal_MAG_365	135	1400236	27	14551	0.39468	88.76	0.02	88.66
High-quality	Feces	fecal_MAG_366	128	2018656	26	25196	0.51483	96.81	1.63	88.66
High-quality	Feces	fecal_MAG_367	174	2564766	39	21223	0.41400	97.49	0.0	97.49
High-quality	Feces	fecal_MAG_368	592	1989050	132	4276	0.57574	86.77	5.91	57.22
High-quality	Feces	fecal_MAG_369	470	1879003	118	4944	0.42657	84.12	2.77	70.27
High-quality	Feces	fecal_MAG_37	79	2578564	6	155548	0.46625	95.17	0.87	90.82
High-quality	Feces	fecal_MAG_370	105	2234603	7	112222	0.40040	92.11	0.34	90.41
High-quality	Feces	fecal_MAG_371	171	1973458	31	18528	0.55521	96.25	1.34	89.55
High-quality	Feces	fecal_MAG_372	255	1966568	55	10868	0.36859	86.7	2.03	76.55
High-quality	Feces	fecal_MAG_373	127	3108720	15	56645	0.37398	97.47	3.53	79.82
High-quality	Feces	fecal_MAG_374	424	2776648	74	9359	0.27398	92.88	3.82	73.78
High-quality	Feces	fecal_MAG_375	79	3046562	16	57428	0.42815	97.23	4.04	77.03
High-quality	Feces	fecal_MAG_376	140	4263142	26	57682	0.41863	93.61	0.38	91.71
High-quality	Feces	fecal_MAG_377	116	2565411	22	32633	0.41517	91.15	0.65	87.9
High-quality	Feces	fecal_MAG_378	680	1975500	183	3436	0.57918	84.01	4.36	62.21
High-quality	Feces	fecal_MAG_379	497	1696023	112	4545	0.48098	90.12	1.57	82.27
High-quality	Feces	fecal_MAG_38	103	2184014	13	57422	0.44853	94.78	4.57	71.93
High-quality	Feces	fecal_MAG_380	508	1866203	114	4748	0.47167	81.4	3.44	64.2
High-quality	Feces	fecal_MAG_381	463	2578967	82	6922	0.45047	90.31	3.75	71.56
High-quality	Feces	fecal_MAG_382	132	2117397	20	36646	0.27874	96.0	1.56	88.2
High-quality	Feces	fecal_MAG_383	113	2302345	16	42698	0.54426	84.68	5.2	58.68
High-quality	Feces	fecal_MAG_384	239	2484836	43	17097	0.40313	95.18	0.18	94.28
High-quality	Feces	fecal_MAG_385	67	1969199	12	45445	0.59220	91.72	2.69	78.27
High-quality	Feces	fecal_MAG_386	230	2707369	40	18931	0.38790	84.86	1.58	76.96
High-quality	Feces	fecal_MAG_387	38	1849266	8	94284	0.50971	95.27	1.68	86.87
High-quality	Feces	fecal_MAG_388	208	3033042	43	22995	0.48518	90.34	1.05	85.09
High-quality	Feces	fecal_MAG_389	215	1936093	39	14951	0.53079	93.54	1.23	87.39
High-quality	Feces	fecal_MAG_39	238	3120757	49	20920	0.42446	91.03	0.12	90.43
High-quality	Feces	fecal_MAG_390	90	2308061	21	35714	0.50371	99.03	1.94	89.33
High-quality	Feces	fecal_MAG_391	65	793665	20	15370	0.30201	83.71	0.16	82.91
High-quality	Feces	fecal_MAG_392	148	2520402	30	24173	0.40965	95.62	2.18	84.72
High-quality	Feces	fecal_MAG_393	71	2235147	14	45486	0.43252	97.09	1.17	91.24
High-quality	Feces	fecal_MAG_394	440	1602938	99	4697	0.41319	95.44	8.38	53.54
High-quality	Feces	fecal_MAG_395	90	2061591	14	52405	0.45581	96.42	0.0	96.42
High-quality	Feces	fecal_MAG_396	23	1696857	5	121991	0.27353	80.9	5.22	54.8
High-quality	Feces	fecal_MAG_397	107	2455106	18	41025	0.47064	96.14	0.48	93.74
High-quality	Feces	fecal_MAG_398	115	2056974	19	33696	0.35867	94.65	2.16	83.85
High-quality	Feces	fecal_MAG_399	84	2283694	19	40916	0.48451	94.23	1.13	88.58
High-quality	Feces	fecal_MAG_4	159	1925524	34	18566	0.46464	93.0	2.52	80.4
High-quality	Feces	fecal_MAG_40	89	2057462	17	41677	0.52808	94.41	1.13	88.76
High-quality	Feces	fecal_MAG_400	213	2696029	46	18481	0.39705	93.79	2.06	83.49
High-quality	Feces	fecal_MAG_401	284	2161147	65	9733	0.47070	87.83	0.87	83.48
High-quality	Feces	fecal_MAG_402	59	2148237	13	55814	0.47988	91.03	0.35	89.28
High-quality	Feces	fecal_MAG_403	120	2446762	17	50548	0.44085	98.0	0.63	94.85
High-quality	Feces	fecal_MAG_404	121	2591947	15	60630	0.50187	98.21	0.5	95.71
High-quality	Feces	fecal_MAG_405	81	2840316	10	77732	0.48389	94.73	0.5	92.23
High-quality	Feces	fecal_MAG_406	139	1795120	29	18482	0.40544	91.35	0.57	88.5
High-quality	Feces	fecal_MAG_407	53	2363028	12	63037	0.38641	93.28	0.02	93.18
High-quality	Feces	fecal_MAG_408	74	2107095	20	37462	0.44929	94.44	0.03	94.29
High-quality	Feces	fecal_MAG_409	264	2200268	58	11767	0.51413	91.12	0.13	90.47
High-quality	Feces	fecal_MAG_41	370	1787855	92	5821	0.39305	82.25	2.01	72.2
High-quality	Feces	fecal_MAG_410	91	2563324	20	42348	0.57051	98.28	7.52	60.68
High-quality	Feces	fecal_MAG_411	91	2039572	18	37136	0.48865	94.23	0.48	91.83
High-quality	Feces	fecal_MAG_412	20	1833610	3	310744	0.41229	98.21	0.67	94.86
High-quality	Feces	fecal_MAG_413	34	2030484	7	81383	0.58218	90.48	1.29	84.03
High-quality	Feces	fecal_MAG_414	129	2991316	18	53330	0.34732	86.23	3.08	70.83
High-quality	Feces	fecal_MAG_415	505	1222320	143	2770	0.41558	80.02	5.83	50.87
High-quality	Feces	fecal_MAG_416	372	2072399	77	7729	0.31648	95.87	0.0	95.87
High-quality	Feces	fecal_MAG_417	448	3270429	92	10012	0.41042	96.24	0.72	92.64
High-quality	Feces	fecal_MAG_418	462	2007113	113	5603	0.51049	86.24	2.38	74.34
High-quality	Feces	fecal_MAG_419	165	2628957	19	38179	0.45874	95.04	4.66	71.74
High-quality	Feces	fecal_MAG_42	770	2162230	208	3307	0.51609	91.82	7.4	54.82
High-quality	Feces	fecal_MAG_420	149	2444010	16	45647	0.44734	96.24	6.51	63.69
High-quality	Feces	fecal_MAG_421	102	2221170	11	58132	0.28599	96.63	8.99	51.68
High-quality	Feces	fecal_MAG_422	204	2344051	23	27152	0.42941	90.86	6.2	59.86
High-quality	Feces	fecal_MAG_423	205	1409450	48	9986	0.51918	82.66	2.6	69.66
High-quality	Feces	fecal_MAG_424	140	2187917	30	23003	0.50710	93.75	0.6	90.75
High-quality	Feces	fecal_MAG_425	240	1546235	58	8032	0.36141	80.65	1.24	74.45
High-quality	Feces	fecal_MAG_426	414	1859895	103	5708	0.37169	87.06	2.35	75.31
High-quality	Feces	fecal_MAG_427	297	1484209	62	6950	0.44804	90.72	0.64	87.52
High-quality	Feces	fecal_MAG_428	351	1961232	80	6754	0.35824	87.34	2.55	74.59
High-quality	Feces	fecal_MAG_429	157	3117711	32	32943	0.43270	97.94	5.53	70.29
High-quality	Feces	fecal_MAG_43	448	1838783	109	5162	0.40585	85.06	2.25	73.81
High-quality	Feces	fecal_MAG_430	165	1966677	40	16419	0.50943	85.32	0.91	80.77
High-quality	Feces	fecal_MAG_431	413	1926894	106	5880	0.44804	84.87	4.75	61.12
High-quality	Feces	fecal_MAG_432	154	2322255	19	35370	0.53604	99.78	6.82	65.68
High-quality	Feces	fecal_MAG_433	90	2693045	9	94898	0.47083	94.24	4.96	69.44
High-quality	Feces	fecal_MAG_434	75	1584867	11	46578	0.44659	87.89	0.67	84.54
High-quality	Feces	fecal_MAG_435	84	2902544	17	54253	0.38723	92.95	0.0	92.95
High-quality	Feces	fecal_MAG_436	283	2143674	58	10190	0.35560	95.82	4.07	75.47
High-quality	Feces	fecal_MAG_437	423	1371476	93	4037	0.52566	86.65	2.55	73.9
High-quality	Feces	fecal_MAG_438	588	2001432	147	4119	0.57902	87.41	4.03	67.26
High-quality	Feces	fecal_MAG_439	183	2167013	39	18000	0.59103	85.73	4.59	62.78
High-quality	Feces	fecal_MAG_44	80	2760712	13	68389	0.47682	94.15	0.95	89.4
High-quality	Feces	fecal_MAG_440	274	2055161	58	10130	0.32927	94.4	2.6	81.4
High-quality	Feces	fecal_MAG_441	191	3576415	28	33882	0.28721	96.46	0.61	93.41
High-quality	Feces	fecal_MAG_442	59	2273446	11	64217	0.58605	97.96	0.68	94.56
High-quality	Feces	fecal_MAG_443	97	2210236	11	57638	0.32296	99.2	2.4	87.2
High-quality	Feces	fecal_MAG_444	221	2919457	26	38359	0.29682	98.11	8.83	53.96
High-quality	Feces	fecal_MAG_445	288	4016881	34	32522	0.37816	96.34	1.85	87.09
High-quality	Feces	fecal_MAG_446	316	2249214	75	9518	0.40419	87.1	0.12	86.5
High-quality	Feces	fecal_MAG_447	129	2389344	28	30126	0.33047	100.0	0.0	100
High-quality	Feces	fecal_MAG_448	511	1755381	118	4533	0.44999	85.65	1.97	75.8
High-quality	Feces	fecal_MAG_449	310	3003663	49	16534	0.46608	91.05	1.65	82.8
High-quality	Feces	fecal_MAG_45	144	1451838	29	13974	0.54168	88.76	1.48	81.36
High-quality	Feces	fecal_MAG_450	309	2562820	62	12232	0.55825	87.77	6.42	55.67
High-quality	Feces	fecal_MAG_451	104	2017606	13	42115	0.43817	91.72	1.01	86.67
High-quality	Feces	fecal_MAG_452	133	2023038	22	27098	0.63657	99.56	0.7	96.06
High-quality	Feces	fecal_MAG_453	69	1719711	9	68904	0.26950	96.0	1.33	89.35
High-quality	Feces	fecal_MAG_454	16	1068086	3	164571	0.29719	82.58	3.37	65.73
High-quality	Feces	fecal_MAG_455	180	2757090	33	22934	0.38401	90.28	5.38	63.38
High-quality	Feces	fecal_MAG_456	102	2723097	18	55867	0.46738	94.97	2.54	82.27
High-quality	Feces	fecal_MAG_457	110	1579619	22	23877	0.40882	95.5	2.54	82.8
High-quality	Feces	fecal_MAG_458	461	2056666	102	5935	0.58028	95.34	3.71	76.79
High-quality	Feces	fecal_MAG_459	146	1886998	32	17574	0.64247	81.53	1.63	73.38
High-quality	Feces	fecal_MAG_46	78	2085660	15	44940	0.34964	97.99	0.67	94.64
High-quality	Feces	fecal_MAG_460	116	1641417	25	20483	0.31567	84.8	0.0	84.8
High-quality	Feces	fecal_MAG_461	72	1578251	14	38337	0.35461	88.68	0.94	83.98
High-quality	Feces	fecal_MAG_462	106	2554286	23	37579	0.50322	93.33	2.22	82.23
High-quality	Feces	fecal_MAG_463	204	2465707	48	15522	0.43286	88.01	0.13	87.36
High-quality	Feces	fecal_MAG_464	143	1339913	35	12490	0.54112	84.56	0.0	84.56
High-quality	Feces	fecal_MAG_465	146	1163757	36	9523	0.39910	81.29	4.26	59.99
High-quality	Feces	fecal_MAG_466	59	1533925	14	39709	0.41341	91.4	0.0	91.4
High-quality	Feces	fecal_MAG_467	201	1622316	47	9689	0.60774	80.76	0.23	79.61
High-quality	Feces	fecal_MAG_468	83	1783156	16	37792	0.36200	86.27	5.7	57.77
High-quality	Feces	fecal_MAG_469	50	2414388	12	65078	0.46761	90.11	2.17	79.26
High-quality	Feces	fecal_MAG_47	267	3222831	53	18784	0.42082	95.04	0.94	90.34
High-quality	Feces	fecal_MAG_470	138	2134938	29	25145	0.41486	88.8	5.73	60.15
High-quality	Feces	fecal_MAG_471	77	2083316	18	36099	0.59582	91.62	0.75	87.87
High-quality	Feces	fecal_MAG_472	88	1678505	20	26169	0.46039	98.39	0.37	96.54
High-quality	Feces	fecal_MAG_473	29	1166066	6	62107	0.24227	86.94	3.93	67.29
High-quality	Feces	fecal_MAG_474	101	1908764	25	25234	0.45455	81.38	0.0	81.38
High-quality	Feces	fecal_MAG_475	29	1659936	7	73645	0.40970	97.58	0.0	97.58
High-quality	Feces	fecal_MAG_476	73	2468047	16	47893	0.53427	85.94	0.49	83.49
High-quality	Feces	fecal_MAG_477	148	1525545	33	15064	0.36912	83.73	1.66	75.43
High-quality	Feces	fecal_MAG_478	138	2694556	30	29137	0.34013	96.0	0.0	96
High-quality	Feces	fecal_MAG_479	185	1971049	49	13217	0.51413	87.7	1.68	79.3
High-quality	Feces	fecal_MAG_48	364	2283349	76	8463	0.58508	90.77	1.24	84.57
High-quality	Feces	fecal_MAG_480	150	2560950	17	52953	0.46369	83.8	5.81	54.75
High-quality	Feces	fecal_MAG_481	296	4084505	53	22835	0.51090	94.92	1.11	89.37
High-quality	Feces	fecal_MAG_482	156	3087489	22	45593	0.48648	89.58	6.88	55.18
High-quality	Feces	fecal_MAG_483	434	2186309	92	7194	0.49004	84.45	2.68	71.05
High-quality	Feces	fecal_MAG_484	188	2841833	38	24556	0.55236	91.82	7.23	55.67
High-quality	Feces	fecal_MAG_485	119	1747505	14	40000	0.38013	89.66	1.9	80.16
High-quality	Feces	fecal_MAG_486	69	1438890	10	60053	0.45317	81.8	1.01	76.75
High-quality	Feces	fecal_MAG_49	251	1936593	52	11475	0.40124	94.98	3.58	77.08
High-quality	Feces	fecal_MAG_5	102	2156716	16	39854	0.35689	99.67	0.59	96.72
High-quality	Feces	fecal_MAG_50	476	2925889	123	7180	0.27973	88.19	7.6	50.19
High-quality	Feces	fecal_MAG_51	579	1940875	144	4133	0.57861	91.22	3.3	74.72
High-quality	Feces	fecal_MAG_52	613	2605980	141	5490	0.47336	86.14	3.02	71.04
High-quality	Feces	fecal_MAG_53	232	3557119	26	39670	0.38387	99.33	4.7	75.83
High-quality	Feces	fecal_MAG_54	137	2708044	18	45617	0.52458	99.43	2.25	88.18
High-quality	Feces	fecal_MAG_55	349	2510405	70	9669	0.56500	96.34	6.97	61.49
High-quality	Feces	fecal_MAG_56	103	2076422	9	67831	0.43853	94.63	1.34	87.93
High-quality	Feces	fecal_MAG_57	154	2251150	31	23227	0.50880	98.27	2.47	85.92
High-quality	Feces	fecal_MAG_58	162	3128945	27	38607	0.33194	99.33	1.4	92.33
High-quality	Feces	fecal_MAG_59	362	2770412	40	18603	0.49011	94.62	6.77	60.77
High-quality	Feces	fecal_MAG_6	485	2129373	96	6020	0.51016	95.05	3.0	80.05
High-quality	Feces	fecal_MAG_60	163	1770880	38	14377	0.33000	85.6	3.58	67.7
High-quality	Feces	fecal_MAG_61	61	2034566	14	49789	0.46848	89.16	1.98	79.26
High-quality	Feces	fecal_MAG_62	295	1668043	64	7905	0.40700	93.82	3.44	76.62
High-quality	Feces	fecal_MAG_63	503	1687864	118	4104	0.32048	80.15	3.8	61.15
High-quality	Feces	fecal_MAG_64	166	3101003	16	59612	0.39483	97.99	3.36	81.19
High-quality	Feces	fecal_MAG_65	213	3277456	26	37882	0.36573	94.63	1.01	89.58
High-quality	Feces	fecal_MAG_66	26	2109451	6	167411	0.50494	99.04	0.72	95.44
High-quality	Feces	fecal_MAG_67	33	1083612	3	161120	0.43296	87.91	0.0	87.91
High-quality	Feces	fecal_MAG_68	29	2229537	7	112178	0.47415	97.76	0.0	97.76
High-quality	Feces	fecal_MAG_69	95	2145986	18	39221	0.36634	94.97	1.25	88.72
High-quality	Feces	fecal_MAG_7	313	1761246	72	7847	0.51316	91.86	2.51	79.31
High-quality	Feces	fecal_MAG_70	480	1862082	117	4989	0.40280	89.71	1.01	84.66
High-quality	Feces	fecal_MAG_71	292	3572615	24	48580	0.49109	91.72	3.69	73.27
High-quality	Feces	fecal_MAG_72	129	2252541	22	30764	0.53176	96.79	1.26	90.49
High-quality	Feces	fecal_MAG_73	124	1455937	27	16203	0.43176	84.79	1.68	76.39
High-quality	Feces	fecal_MAG_74	95	2987621	22	45796	0.45235	96.28	1.01	91.23
High-quality	Feces	fecal_MAG_75	65	1909227	10	64613	0.42090	94.97	0.67	91.62
High-quality	Feces	fecal_MAG_76	276	2036063	66	10158	0.35666	92.32	3.24	76.12
High-quality	Feces	fecal_MAG_77	267	2211511	49	14620	0.54353	97.0	6.51	64.45
High-quality	Feces	fecal_MAG_78	185	2919729	36	24869	0.48769	91.72	2.86	77.42
High-quality	Feces	fecal_MAG_79	123	1584881	23	19112	0.44767	81.88	0.67	78.53
High-quality	Feces	fecal_MAG_8	129	3631568	9	111612	0.45747	96.9	2.69	83.45
High-quality	Feces	fecal_MAG_80	299	1837424	73	7525	0.35746	81.76	3.38	64.86
High-quality	Feces	fecal_MAG_81	106	1945231	20	29488	0.51473	94.31	0.0	94.31
High-quality	Feces	fecal_MAG_82	58	1582906	9	54458	0.44674	98.41	0.34	96.71
High-quality	Feces	fecal_MAG_83	157	2105978	25	21501	0.47940	88.68	0.67	85.33
High-quality	Feces	fecal_MAG_84	76	2306377	14	58045	0.47215	89.84	1.86	80.54
High-quality	Feces	fecal_MAG_85	312	1728955	61	8121	0.51011	95.13	3.53	77.48
High-quality	Feces	fecal_MAG_86	754	2586739	191	4176	0.44256	82.82	3.02	67.72
High-quality	Feces	fecal_MAG_87	549	1866150	131	4278	0.35093	84.63	2.91	70.08
High-quality	Feces	fecal_MAG_88	143	2480641	9	94366	0.44160	95.91	4.3	74.41
High-quality	Feces	fecal_MAG_89	74	2767244	13	68555	0.56607	91.84	2.72	78.24
High-quality	Feces	fecal_MAG_9	417	3190207	68	12245	0.36259	95.43	8.05	55.18
High-quality	Feces	fecal_MAG_90	91	1849901	10	50232	0.52508	86.06	5.68	57.66
High-quality	Feces	fecal_MAG_91	127	3059849	30	32613	0.44990	94.85	0.19	93.9
High-quality	Feces	fecal_MAG_92	174	1814158	32	15418	0.58145	93.62	1.23	87.47
High-quality	Feces	fecal_MAG_93	221	2631443	46	17977	0.45020	90.64	2.22	79.54
High-quality	Feces	fecal_MAG_94	182	1608642	42	12827	0.40815	93.06	3.49	75.61
High-quality	Feces	fecal_MAG_95	143	2958202	26	35016	0.58048	86.42	2.04	76.22
High-quality	Feces	fecal_MAG_96	604	2342709	154	4757	0.50135	88.91	3.16	73.11
High-quality	Feces	fecal_MAG_97	714	2325310	179	3878	0.40419	81.51	5.06	56.21
High-quality	Feces	fecal_MAG_98	89	2139887	13	50411	0.40010	97.99	3.58	80.09
High-quality	Feces	fecal_MAG_99	30	2093913	4	247385	0.43800	97.04	1.61	88.99
High-quality	Rumen	ruminal_MAG_1	337	1642205	89	5706	0.55441	80.93	2.82	66.83
High-quality	Rumen	ruminal_MAG_10	123	2250076	24	32472	0.56587	91.41	2.9	76.91
High-quality	Rumen	ruminal_MAG_100	247	1443475	59	7622	0.35843	82.48	2.17	71.63
High-quality	Rumen	ruminal_MAG_101	132	3264928	15	63983	0.52187	98.01	0.54	95.31
High-quality	Rumen	ruminal_MAG_102	238	2073855	42	13316	0.53704	97.6	0.0	97.6
High-quality	Rumen	ruminal_MAG_103	347	4597853	44	31329	0.48547	99.21	2.59	86.26
High-quality	Rumen	ruminal_MAG_104	151	3332760	23	45366	0.49623	87.02	3.4	70.02
High-quality	Rumen	ruminal_MAG_105	15	2865861	3	302680	0.52048	95.43	0.54	92.73
High-quality	Rumen	ruminal_MAG_106	64	2415987	13	69677	0.52096	95.32	1.08	89.92
High-quality	Rumen	ruminal_MAG_107	378	2021607	99	6520	0.51331	80.06	1.58	72.16
High-quality	Rumen	ruminal_MAG_108	84	1962753	15	37676	0.49158	92.55	0.86	88.25
High-quality	Rumen	ruminal_MAG_109	54	1371282	11	39637	0.37164	96.63	2.25	85.38
High-quality	Rumen	ruminal_MAG_11	146	1552173	32	14625	0.57868	82.9	0.68	79.5
High-quality	Rumen	ruminal_MAG_110	177	1928392	38	15218	0.61917	82.85	2.91	68.3
High-quality	Rumen	ruminal_MAG_111	1169	3213134	335	3163	0.61794	82.79	3.85	63.54
High-quality	Rumen	ruminal_MAG_112	216	3183609	28	34164	0.48986	92.32	1.37	85.47
High-quality	Rumen	ruminal_MAG_113	58	2492844	5	199858	0.49391	97.47	2.42	85.37
High-quality	Rumen	ruminal_MAG_114	385	2354136	67	9796	0.44334	87.36	2.44	75.16
High-quality	Rumen	ruminal_MAG_115	258	2353292	42	16547	0.51371	84.14	4.8	60.14
High-quality	Rumen	ruminal_MAG_116	121	1675572	23	23932	0.33665	98.31	4.13	77.66
High-quality	Rumen	ruminal_MAG_117	82	3406774	17	59398	0.48633	100.0	0.02	99.9
High-quality	Rumen	ruminal_MAG_118	352	2669812	81	10599	0.59659	83.59	1.5	76.09
High-quality	Rumen	ruminal_MAG_119	237	2497481	54	15503	0.56267	89.38	2.81	75.33
High-quality	Rumen	ruminal_MAG_12	287	1530768	69	6021	0.33038	81.47	1.0	76.47
High-quality	Rumen	ruminal_MAG_120	299	4213093	55	23037	0.43409	93.8	5.63	65.65
High-quality	Rumen	ruminal_MAG_121	36	1936695	8	89660	0.50011	91.67	1.27	85.32
High-quality	Rumen	ruminal_MAG_122	120	2093337	27	27722	0.52037	81.72	1.88	72.32
High-quality	Rumen	ruminal_MAG_123	16	838498	4	62131	0.42150	87.91	0.0	87.91
High-quality	Rumen	ruminal_MAG_124	75	2686953	14	84341	0.54708	95.84	0.0	95.84
High-quality	Rumen	ruminal_MAG_125	99	3163661	21	48791	0.51142	94.75	1.01	89.7
High-quality	Rumen	ruminal_MAG_126	344	3284586	70	14195	0.38605	96.75	2.79	82.8
High-quality	Rumen	ruminal_MAG_127	756	1957566	197	2919	0.50219	84.03	6.11	53.48
High-quality	Rumen	ruminal_MAG_128	137	3396098	15	73136	0.46603	92.78	1.35	86.03
High-quality	Rumen	ruminal_MAG_129	52	3371608	4	319492	0.50291	98.9	1.65	90.65
High-quality	Rumen	ruminal_MAG_13	92	3195155	16	62479	0.46073	94.95	6.2	63.95
High-quality	Rumen	ruminal_MAG_130	245	3795827	26	46304	0.50001	92.82	5.58	64.92
High-quality	Rumen	ruminal_MAG_131	51	1729513	4	177165	0.35967	98.88	1.12	93.28
High-quality	Rumen	ruminal_MAG_132	267	2331299	50	14422	0.51364	87.9	0.82	83.8
High-quality	Rumen	ruminal_MAG_133	172	2720569	30	23769	0.49381	96.33	2.24	85.13
High-quality	Rumen	ruminal_MAG_134	341	2081477	80	7505	0.47228	86.22	2.68	72.82
High-quality	Rumen	ruminal_MAG_135	352	2766951	82	10476	0.57141	86.95	2.82	72.85
High-quality	Rumen	ruminal_MAG_136	143	3782882	12	100508	0.55660	97.9	1.19	91.95
High-quality	Rumen	ruminal_MAG_137	561	2946838	151	6054	0.45719	85.52	2.72	71.92
High-quality	Rumen	ruminal_MAG_138	33	2166833	6	149302	0.37544	96.34	0.0	96.34
High-quality	Rumen	ruminal_MAG_139	117	2837364	22	38783	0.53365	86.73	1.1	81.23
High-quality	Rumen	ruminal_MAG_14	330	1784610	93	6387	0.57169	81.17	2.29	69.72
High-quality	Rumen	ruminal_MAG_140	347	3528341	72	14877	0.52917	91.04	1.51	83.49
High-quality	Rumen	ruminal_MAG_141	93	2133444	19	44218	0.61309	90.37	2.14	79.67
High-quality	Rumen	ruminal_MAG_142	72	2599941	10	85920	0.45255	92.86	4.62	69.76
High-quality	Rumen	ruminal_MAG_143	71	1639108	7	48798	0.36399	92.31	2.53	79.66
High-quality	Rumen	ruminal_MAG_144	305	2273696	62	11141	0.36154	89.5	3.2	73.5
High-quality	Rumen	ruminal_MAG_145	373	2920725	88	9740	0.63681	89.98	3.83	70.83
High-quality	Rumen	ruminal_MAG_146	121	2866245	22	38518	0.50606	94.35	0.0	94.35
High-quality	Rumen	ruminal_MAG_147	277	1603643	69	7141	0.58413	86.8	1.88	77.4
High-quality	Rumen	ruminal_MAG_148	235	2968845	49	20203	0.57134	93.24	2.36	81.44
High-quality	Rumen	ruminal_MAG_149	4	1481670	2	347496	0.34284	88.51	0.0	88.51
High-quality	Rumen	ruminal_MAG_15	453	2084160	99	6199	0.51490	91.88	5.79	62.93
High-quality	Rumen	ruminal_MAG_150	607	1917855	153	3831	0.44215	85.82	3.8	66.82
High-quality	Rumen	ruminal_MAG_151	730	2753193	194	4564	0.48929	80.04	1.68	71.64
High-quality	Rumen	ruminal_MAG_152	353	2038121	89	7050	0.47863	84.59	2.48	72.19
High-quality	Rumen	ruminal_MAG_153	604	2063630	148	4187	0.44714	90.94	3.83	71.79
High-quality	Rumen	ruminal_MAG_154	323	2978815	72	13332	0.47643	92.7	1.34	86
High-quality	Rumen	ruminal_MAG_155	235	2392645	47	15176	0.55807	89.69	1.34	82.99
High-quality	Rumen	ruminal_MAG_156	88	3259914	16	71349	0.51519	94.64	1.68	86.24
High-quality	Rumen	ruminal_MAG_157	53	2564217	10	88632	0.53212	96.27	0.48	93.87
High-quality	Rumen	ruminal_MAG_158	70	2443299	12	61950	0.55461	90.57	0.0	90.57
High-quality	Rumen	ruminal_MAG_159	252	1739899	59	8490	0.58151	87.92	2.35	76.17
High-quality	Rumen	ruminal_MAG_16	462	1344859	81	3728	0.36991	84.46	1.97	74.61
High-quality	Rumen	ruminal_MAG_160	71	2199168	18	40262	0.50637	95.97	1.88	86.57
High-quality	Rumen	ruminal_MAG_161	894	3072734	241	4171	0.62106	81.67	3.08	66.27
High-quality	Rumen	ruminal_MAG_162	525	1982294	133	4614	0.37688	84.55	2.46	72.25
High-quality	Rumen	ruminal_MAG_163	532	2455739	135	5584	0.47810	81.84	3.69	63.39
High-quality	Rumen	ruminal_MAG_164	134	3189963	19	49474	0.50563	96.13	3.23	79.98
High-quality	Rumen	ruminal_MAG_165	116	961272	20	12736	0.38103	84.97	1.1	79.47
High-quality	Rumen	ruminal_MAG_166	50	2510255	7	111614	0.49904	83.49	0.54	80.79
High-quality	Rumen	ruminal_MAG_167	254	3192993	41	23038	0.58626	91.04	3.15	75.29
High-quality	Rumen	ruminal_MAG_168	275	2228590	53	11213	0.42886	88.57	0.21	87.52
High-quality	Rumen	ruminal_MAG_169	377	4379017	64	21014	0.54147	81.71	5.26	55.41
High-quality	Rumen	ruminal_MAG_17	361	2238339	80	8797	0.49514	86.22	3.22	70.12
High-quality	Rumen	ruminal_MAG_170	205	2296856	39	17183	0.57452	82.63	1.72	74.03
High-quality	Rumen	ruminal_MAG_171	349	2399957	85	8847	0.54509	81.22	0.88	76.82
High-quality	Rumen	ruminal_MAG_172	65	2348181	14	66169	0.35808	94.17	4.0	74.17
High-quality	Rumen	ruminal_MAG_173	319	1979754	83	7864	0.33749	80.77	1.31	74.22
High-quality	Rumen	ruminal_MAG_174	215	3135623	24	43527	0.46782	97.18	6.88	62.78
High-quality	Rumen	ruminal_MAG_175	314	3740457	42	26849	0.48773	94.68	4.85	70.43
High-quality	Rumen	ruminal_MAG_176	153	3111748	24	37114	0.51882	98.71	2.4	86.71
High-quality	Rumen	ruminal_MAG_177	166	2415130	30	25075	0.50660	97.87	2.91	83.32
High-quality	Rumen	ruminal_MAG_178	334	2741872	56	14779	0.45908	94.94	3.52	77.34
High-quality	Rumen	ruminal_MAG_179	234	1885003	27	18082	0.31626	86.36	6.37	54.51
High-quality	Rumen	ruminal_MAG_18	304	3003862	50	17436	0.42955	93.6	0.85	89.35
High-quality	Rumen	ruminal_MAG_180	286	1664734	70	7359	0.58313	90.55	1.74	81.85
High-quality	Rumen	ruminal_MAG_181	203	1528254	44	9564	0.38412	84.12	3.33	67.47
High-quality	Rumen	ruminal_MAG_182	257	3466636	56	18814	0.45747	97.71	0.47	95.36
High-quality	Rumen	ruminal_MAG_183	245	2218551	58	12549	0.47472	91.68	0.1	91.18
High-quality	Rumen	ruminal_MAG_184	283	3310047	55	19875	0.48604	94.53	3.27	78.18
High-quality	Rumen	ruminal_MAG_185	49	1508883	11	49217	0.47953	95.51	0.0	95.51
High-quality	Rumen	ruminal_MAG_186	288	1671098	75	6870	0.54672	84.23	0.08	83.83
High-quality	Rumen	ruminal_MAG_187	580	2161046	157	4378	0.48673	85.97	3.24	69.77
High-quality	Rumen	ruminal_MAG_188	495	3609009	92	11661	0.50378	94.76	2.66	81.46
High-quality	Rumen	ruminal_MAG_189	97	2757762	20	45278	0.50713	97.92	0.63	94.77
High-quality	Rumen	ruminal_MAG_19	238	3710991	29	36720	0.51117	95.9	3.3	79.4
