Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Feces	fecal_MAG_335	197	1830119	40	13092	51789	0.46582	93.6	1.01	88.55	19x
High-quality	Feces	fecal_MAG_336	106	2206038	15	37681	171093	0.35326	93.79	0.59	90.84	153x
High-quality	Feces	fecal_MAG_337	156	2842961	22	38615	158065	0.44169	93.57	1.41	86.52	106x
High-quality	Feces	fecal_MAG_338	36	1684279	3	208778	455120	0.4803	98.33	0	98.33	38x
High-quality	Feces	fecal_MAG_339	205	1981436	47	13602	44707	0.5453	93.8	2.21	82.75	9x
High-quality	Feces	fecal_MAG_34	294	1591993	66	6948	58660	0.3226	83.64	2	73.64	8x
High-quality	Feces	fecal_MAG_340	130	2007810	22	27312	79496	0.52905	85.18	2.92	70.58	18x
High-quality	Feces	fecal_MAG_341	118	2446778	27	30577	105164	0.32926	96.09	1.89	86.64	10x
High-quality	Feces	fecal_MAG_342	220	2807268	42	20515	94057	0.49087	98.43	2.35	86.68	90x
High-quality	Feces	fecal_MAG_343	46	2299977	4	134156	573975	0.5039	93.46	1.49	86.01	25x
High-quality	Feces	fecal_MAG_344	33	1863558	6	96282	295511	0.51392	94.71	0.03	94.56	9x
High-quality	Feces	fecal_MAG_345	271	1941327	53	10288	42245	0.35858	88.5	3.14	72.8	5x
High-quality	Feces	fecal_MAG_346	137	2401398	22	34746	157080	0.46961	80.06	0.67	76.71	15x
High-quality	Feces	fecal_MAG_347	88	2426199	17	38516	238932	0.52892	90.82	1.08	85.42	19x
High-quality	Feces	fecal_MAG_348	150	3000548	16	52915	226448	0.36002	95.65	3.21	79.6	19x
High-quality	Feces	fecal_MAG_349	47	1749286	9	67650	167622	0.51663	93.45	0.48	91.05	11x
High-quality	Feces	fecal_MAG_35	389	1722189	75	6234	35877	0.51703	89.02	2.16	78.22	4x
High-quality	Feces	fecal_MAG_350	211	1305174	45	7767	43479	0.41162	80.05	4.24	58.85	6x
High-quality	Feces	fecal_MAG_351	304	1587524	68	7279	27393	0.44425	92.06	1.94	82.36	4x
High-quality	Feces	fecal_MAG_352	234	2252170	44	16327	80081	0.50604	93.15	0.81	89.1	5x
High-quality	Feces	fecal_MAG_353	129	3945890	12	124565	263690	0.38122	98.31	4.74	74.61	48x
High-quality	Feces	fecal_MAG_354	170	2961004	22	42359	147607	0.4779	95.25	1.64	87.05	38x
High-quality	Feces	fecal_MAG_355	271	2358918	52	13809	51594	0.56136	88.26	5.59	60.31	15x
High-quality	Feces	fecal_MAG_356	23	1939494	5	152309	290897	0.48769	99.04	3.57	81.19	19x
High-quality	Feces	fecal_MAG_357	55	1662257	12	49420	138312	0.52121	95.34	0	95.34	15x
High-quality	Feces	fecal_MAG_358	26	2507986	7	144635	245846	0.55348	93.2	0.23	92.05	28x
High-quality	Feces	fecal_MAG_359	218	2053645	45	13692	73023	0.42086	94.52	1.93	84.87	8x
High-quality	Feces	fecal_MAG_36	62	2379578	10	79727	242005	0.43793	95.97	3.23	79.82	54x
High-quality	Feces	fecal_MAG_360	186	2247567	34	23151	62476	0.4427	95.57	0.5	93.07	6x
High-quality	Feces	fecal_MAG_361	519	2087681	138	4716	22579	0.44715	90.24	7.58	52.34	6x
High-quality	Feces	fecal_MAG_362	192	2272015	37	16904	103808	0.55882	89.16	3.32	72.56	25x
High-quality	Feces	fecal_MAG_363	193	3440404	22	46534	119924	0.48062	94.92	3.28	78.52	27x
High-quality	Feces	fecal_MAG_364	309	1970055	68	8953	32776	0.4299	87.01	1.34	80.31	9x
High-quality	Feces	fecal_MAG_365	135	1400236	27	14551	52358	0.39468	88.76	0.02	88.66	10x
High-quality	Feces	fecal_MAG_366	128	2018656	26	25196	63771	0.51483	96.81	1.63	88.66	5x
High-quality	Feces	fecal_MAG_367	174	2564766	39	21223	70060	0.414	97.49	0	97.49	12x
High-quality	Feces	fecal_MAG_368	592	1989050	132	4276	85727	0.57574	86.77	5.91	57.22	4x
High-quality	Feces	fecal_MAG_369	470	1879003	118	4944	24941	0.42657	84.12	2.77	70.27	4x
High-quality	Feces	fecal_MAG_37	79	2578564	6	155548	292486	0.46625	95.17	0.87	90.82	49x
High-quality	Feces	fecal_MAG_370	105	2234603	7	112222	265640	0.4004	92.11	0.34	90.41	56x
High-quality	Feces	fecal_MAG_371	171	1973458	31	18528	75967	0.55521	96.25	1.34	89.55	24x
High-quality	Feces	fecal_MAG_372	255	1966568	55	10868	42540	0.36859	86.7	2.03	76.55	7x
High-quality	Feces	fecal_MAG_373	127	3108720	15	56645	208634	0.37398	97.47	3.53	79.82	25x
High-quality	Feces	fecal_MAG_374	424	2776648	74	9359	58934	0.27398	92.88	3.82	73.78	11x
High-quality	Feces	fecal_MAG_375	79	3046562	16	57428	169478	0.42815	97.23	4.04	77.03	17x
High-quality	Feces	fecal_MAG_376	140	4263142	26	57682	175778	0.41863	93.61	0.38	91.71	39x
High-quality	Feces	fecal_MAG_377	116	2565411	22	32633	124937	0.41517	91.15	0.65	87.9	13x
High-quality	Feces	fecal_MAG_378	680	1975500	183	3436	14254	0.57918	84.01	4.36	62.21	3x
High-quality	Feces	fecal_MAG_379	497	1696023	112	4545	33198	0.48098	90.12	1.57	82.27	7x
High-quality	Feces	fecal_MAG_38	103	2184014	13	57422	161803	0.44853	94.78	4.57	71.93	13x
High-quality	Feces	fecal_MAG_380	508	1866203	114	4748	26711	0.47167	81.4	3.44	64.2	5x
High-quality	Feces	fecal_MAG_381	463	2578967	82	6922	61838	0.45047	90.31	3.75	71.56	9x
High-quality	Feces	fecal_MAG_382	132	2117397	20	36646	115368	0.27874	96	1.56	88.2	106x
High-quality	Feces	fecal_MAG_383	113	2302345	16	42698	145642	0.54426	84.68	5.2	58.68	85x
High-quality	Feces	fecal_MAG_384	239	2484836	43	17097	60479	0.40313	95.18	0.18	94.28	25x
High-quality	Feces	fecal_MAG_385	67	1969199	12	45445	211026	0.5922	91.72	2.69	78.27	21x
High-quality	Feces	fecal_MAG_386	230	2707369	40	18931	83174	0.3879	84.86	1.58	76.96	11x
High-quality	Feces	fecal_MAG_387	38	1849266	8	94284	162719	0.50971	95.27	1.68	86.87	18x
High-quality	Feces	fecal_MAG_388	208	3033042	43	22995	65410	0.48518	90.34	1.05	85.09	10x
High-quality	Feces	fecal_MAG_389	215	1936093	39	14951	90014	0.53079	93.54	1.23	87.39	12x
High-quality	Feces	fecal_MAG_39	238	3120757	49	20920	66782	0.42446	91.03	0.12	90.43	12x
High-quality	Feces	fecal_MAG_390	90	2308061	21	35714	100099	0.50371	99.03	1.94	89.33	7x
High-quality	Feces	fecal_MAG_391	65	793665	20	15370	28401	0.30201	83.71	0.16	82.91	11x
High-quality	Feces	fecal_MAG_392	148	2520402	30	24173	108798	0.40965	95.62	2.18	84.72	12x
High-quality	Feces	fecal_MAG_393	71	2235147	14	45486	301332	0.43252	97.09	1.17	91.24	13x
High-quality	Feces	fecal_MAG_394	440	1602938	99	4697	19123	0.41319	95.44	8.38	53.54	3x
High-quality	Feces	fecal_MAG_395	90	2061591	14	52405	111237	0.45581	96.42	0	96.42	15x
High-quality	Feces	fecal_MAG_396	23	1696857	5	121991	242221	0.27353	80.9	5.22	54.8	17x
High-quality	Feces	fecal_MAG_397	107	2455106	18	41025	111340	0.47064	96.14	0.48	93.74	25x
High-quality	Feces	fecal_MAG_398	115	2056974	19	33696	95484	0.35867	94.65	2.16	83.85	18x
High-quality	Feces	fecal_MAG_399	84	2283694	19	40916	122579	0.48451	94.23	1.13	88.58	11x
High-quality	Feces	fecal_MAG_4	159	1925524	34	18566	62056	0.46464	93	2.52	80.4	12x
High-quality	Feces	fecal_MAG_40	89	2057462	17	41677	109818	0.52808	94.41	1.13	88.76	22x
High-quality	Feces	fecal_MAG_400	213	2696029	46	18481	66120	0.39705	93.79	2.06	83.49	14x
High-quality	Feces	fecal_MAG_401	284	2161147	65	9733	40803	0.4707	87.83	0.87	83.48	10x
High-quality	Feces	fecal_MAG_402	59	2148237	13	55814	139277	0.47988	91.03	0.35	89.28	41x
High-quality	Feces	fecal_MAG_403	120	2446762	17	50548	101742	0.44085	98	0.63	94.85	24x
High-quality	Feces	fecal_MAG_404	121	2591947	15	60630	156610	0.50187	98.21	0.5	95.71	20x
High-quality	Feces	fecal_MAG_405	81	2840316	10	77732	235135	0.48389	94.73	0.5	92.23	21x
High-quality	Feces	fecal_MAG_406	139	1795120	29	18482	76155	0.40544	91.35	0.57	88.5	10x
High-quality	Feces	fecal_MAG_407	53	2363028	12	63037	209119	0.38641	93.28	0.02	93.18	14x
High-quality	Feces	fecal_MAG_408	74	2107095	20	37462	106418	0.44929	94.44	0.03	94.29	13x
High-quality	Feces	fecal_MAG_409	264	2200268	58	11767	58440	0.51413	91.12	0.13	90.47	10x
High-quality	Feces	fecal_MAG_41	370	1787855	92	5821	26987	0.39305	82.25	2.01	72.2	4x
High-quality	Feces	fecal_MAG_410	91	2563324	20	42348	116882	0.57051	98.28	7.52	60.68	14x
High-quality	Feces	fecal_MAG_411	91	2039572	18	37136	126338	0.48865	94.23	0.48	91.83	12x
High-quality	Feces	fecal_MAG_412	20	1833610	3	310744	367652	0.41229	98.21	0.67	94.86	24x
High-quality	Feces	fecal_MAG_413	34	2030484	7	81383	263999	0.58218	90.48	1.29	84.03	18x
High-quality	Feces	fecal_MAG_414	129	2991316	18	53330	165811	0.34732	86.23	3.08	70.83	21x
High-quality	Feces	fecal_MAG_415	505	1222320	143	2770	10546	0.41558	80.02	5.83	50.87	2x
High-quality	Feces	fecal_MAG_416	372	2072399	77	7729	40639	0.31648	95.87	0	95.87	7x
High-quality	Feces	fecal_MAG_417	448	3270429	92	10012	52202	0.41042	96.24	0.72	92.64	10x
High-quality	Feces	fecal_MAG_418	462	2007113	113	5603	36742	0.51049	86.24	2.38	74.34	4x
High-quality	Feces	fecal_MAG_419	165	2628957	19	38179	175099	0.45874	95.04	4.66	71.74	114x
High-quality	Feces	fecal_MAG_42	770	2162230	208	3307	13348	0.51609	91.82	7.4	54.82	5x
High-quality	Feces	fecal_MAG_420	149	2444010	16	45647	148328	0.44734	96.24	6.51	63.69	53x
High-quality	Feces	fecal_MAG_421	102	2221170	11	58132	237947	0.28599	96.63	8.99	51.68	34x
High-quality	Feces	fecal_MAG_422	204	2344051	23	27152	165582	0.42941	90.86	6.2	59.86	22x
High-quality	Feces	fecal_MAG_423	205	1409450	48	9986	30736	0.51918	82.66	2.6	69.66	9x
High-quality	Feces	fecal_MAG_424	140	2187917	30	23003	95415	0.5071	93.75	0.6	90.75	8x
High-quality	Feces	fecal_MAG_425	240	1546235	58	8032	34152	0.36141	80.65	1.24	74.45	10x
High-quality	Feces	fecal_MAG_426	414	1859895	103	5708	22948	0.37169	87.06	2.35	75.31	8x
High-quality	Feces	fecal_MAG_427	297	1484209	62	6950	34569	0.44804	90.72	0.64	87.52	3x
High-quality	Feces	fecal_MAG_428	351	1961232	80	6754	37589	0.35824	87.34	2.55	74.59	2x
High-quality	Feces	fecal_MAG_429	157	3117711	32	32943	96481	0.4327	97.94	5.53	70.29	13x
High-quality	Feces	fecal_MAG_43	448	1838783	109	5162	19451	0.40585	85.06	2.25	73.81	8x
High-quality	Feces	fecal_MAG_430	165	1966677	40	16419	53756	0.50943	85.32	0.91	80.77	10x
High-quality	Feces	fecal_MAG_431	413	1926894	106	5880	22709	0.44804	84.87	4.75	61.12	8x
High-quality	Feces	fecal_MAG_432	154	2322255	19	35370	121478	0.53604	99.78	6.82	65.68	59x
High-quality	Feces	fecal_MAG_433	90	2693045	9	94898	235175	0.47083	94.24	4.96	69.44	43x
High-quality	Feces	fecal_MAG_434	75	1584867	11	46578	133678	0.44659	87.89	0.67	84.54	11x
High-quality	Feces	fecal_MAG_435	84	2902544	17	54253	175617	0.38723	92.95	0	92.95	15x
High-quality	Feces	fecal_MAG_436	283	2143674	58	10190	34117	0.3556	95.82	4.07	75.47	4x
High-quality	Feces	fecal_MAG_437	423	1371476	93	4037	32500	0.52566	86.65	2.55	73.9	4x
High-quality	Feces	fecal_MAG_438	588	2001432	147	4119	17385	0.57902	87.41	4.03	67.26	3x
High-quality	Feces	fecal_MAG_439	183	2167013	39	18000	64355	0.59103	85.73	4.59	62.78	12x
High-quality	Feces	fecal_MAG_44	80	2760712	13	68389	182473	0.47682	94.15	0.95	89.4	20x
High-quality	Feces	fecal_MAG_440	274	2055161	58	10130	55127	0.32927	94.4	2.6	81.4	4x
High-quality	Feces	fecal_MAG_441	191	3576415	28	33882	257653	0.28721	96.46	0.61	93.41	35x
High-quality	Feces	fecal_MAG_442	59	2273446	11	64217	240425	0.58605	97.96	0.68	94.56	28x
High-quality	Feces	fecal_MAG_443	97	2210236	11	57638	179155	0.32296	99.2	2.4	87.2	16x
High-quality	Feces	fecal_MAG_444	221	2919457	26	38359	85515	0.29682	98.11	8.83	53.96	17x
High-quality	Feces	fecal_MAG_445	288	4016881	34	32522	160444	0.37816	96.34	1.85	87.09	23x
High-quality	Feces	fecal_MAG_446	316	2249214	75	9518	37605	0.40419	87.1	0.12	86.5	7x
High-quality	Feces	fecal_MAG_447	129	2389344	28	30126	70317	0.33047	100	0	100	8x
High-quality	Feces	fecal_MAG_448	511	1755381	118	4533	36745	0.44999	85.65	1.97	75.8	3x
High-quality	Feces	fecal_MAG_449	310	3003663	49	16534	82181	0.46608	91.05	1.65	82.8	62x
High-quality	Feces	fecal_MAG_45	144	1451838	29	13974	67835	0.54168	88.76	1.48	81.36	10x
High-quality	Feces	fecal_MAG_450	309	2562820	62	12232	56373	0.55825	87.77	6.42	55.67	28x
High-quality	Feces	fecal_MAG_451	104	2017606	13	42115	190202	0.43817	91.72	1.01	86.67	23x
High-quality	Feces	fecal_MAG_452	133	2023038	22	27098	156014	0.63657	99.56	0.7	96.06	13x
High-quality	Feces	fecal_MAG_453	69	1719711	9	68904	166228	0.2695	96	1.33	89.35	19x
High-quality	Feces	fecal_MAG_454	16	1068086	3	164571	294440	0.29719	82.58	3.37	65.73	18x
High-quality	Feces	fecal_MAG_455	180	2757090	33	22934	160308	0.38401	90.28	5.38	63.38	10x
High-quality	Feces	fecal_MAG_456	102	2723097	18	55867	132169	0.46738	94.97	2.54	82.27	25x
High-quality	Feces	fecal_MAG_457	110	1579619	22	23877	61592	0.40882	95.5	2.54	82.8	7x
High-quality	Feces	fecal_MAG_458	461	2056666	102	5935	28568	0.58028	95.34	3.71	76.79	2x
High-quality	Feces	fecal_MAG_459	146	1886998	32	17574	65152	0.64247	81.53	1.63	73.38	16x
High-quality	Feces	fecal_MAG_46	78	2085660	15	44940	160048	0.34964	97.99	0.67	94.64	31x
High-quality	Feces	fecal_MAG_460	116	1641417	25	20483	64399	0.31567	84.8	0	84.8	14x
High-quality	Feces	fecal_MAG_461	72	1578251	14	38337	90164	0.35461	88.68	0.94	83.98	12x
High-quality	Feces	fecal_MAG_462	106	2554286	23	37579	105753	0.50322	93.33	2.22	82.23	14x
High-quality	Feces	fecal_MAG_463	204	2465707	48	15522	73250	0.43286	88.01	0.13	87.36	10x
High-quality	Feces	fecal_MAG_464	143	1339913	35	12490	39245	0.54112	84.56	0	84.56	11x
High-quality	Feces	fecal_MAG_465	146	1163757	36	9523	32716	0.3991	81.29	4.26	59.99	8x
High-quality	Feces	fecal_MAG_466	59	1533925	14	39709	106140	0.41341	91.4	0	91.4	24x
High-quality	Feces	fecal_MAG_467	201	1622316	47	9689	55203	0.60774	80.76	0.23	79.61	10x
High-quality	Feces	fecal_MAG_468	83	1783156	16	37792	91988	0.362	86.27	5.7	57.77	26x
High-quality	Feces	fecal_MAG_469	50	2414388	12	65078	307650	0.46761	90.11	2.17	79.26	15x
High-quality	Feces	fecal_MAG_47	267	3222831	53	18784	72313	0.42082	95.04	0.94	90.34	28x
High-quality	Feces	fecal_MAG_470	138	2134938	29	25145	69938	0.41486	88.8	5.73	60.15	16x
High-quality	Feces	fecal_MAG_471	77	2083316	18	36099	117241	0.59582	91.62	0.75	87.87	20x
High-quality	Feces	fecal_MAG_472	88	1678505	20	26169	67432	0.46039	98.39	0.37	96.54	15x
High-quality	Feces	fecal_MAG_473	29	1166066	6	62107	177937	0.24227	86.94	3.93	67.29	41x
High-quality	Feces	fecal_MAG_474	101	1908764	25	25234	64425	0.45455	81.38	0	81.38	16x
High-quality	Feces	fecal_MAG_475	29	1659936	7	73645	173616	0.4097	97.58	0	97.58	22x
High-quality	Feces	fecal_MAG_476	73	2468047	16	47893	110009	0.53427	85.94	0.49	83.49	61x
High-quality	Feces	fecal_MAG_477	148	1525545	33	15064	45212	0.36912	83.73	1.66	75.43	15x
High-quality	Feces	fecal_MAG_478	138	2694556	30	29137	83650	0.34013	96	0	96	13x
High-quality	Feces	fecal_MAG_479	185	1971049	49	13217	39513	0.51413	87.7	1.68	79.3	14x
High-quality	Feces	fecal_MAG_48	364	2283349	76	8463	39580	0.58508	90.77	1.24	84.57	6x
High-quality	Feces	fecal_MAG_480	150	2560950	17	52953	111536	0.46369	83.8	5.81	54.75	67x
High-quality	Feces	fecal_MAG_481	296	4084505	53	22835	79368	0.5109	94.92	1.11	89.37	44x
High-quality	Feces	fecal_MAG_482	156	3087489	22	45593	162724	0.48648	89.58	6.88	55.18	55x
High-quality	Feces	fecal_MAG_483	434	2186309	92	7194	27510	0.49004	84.45	2.68	71.05	36x
High-quality	Feces	fecal_MAG_484	188	2841833	38	24556	82709	0.55236	91.82	7.23	55.67	22x
High-quality	Feces	fecal_MAG_485	119	1747505	14	40000	97417	0.38013	89.66	1.9	80.16	21x
High-quality	Feces	fecal_MAG_486	69	1438890	10	60053	98670	0.45317	81.8	1.01	76.75	20x
Medium-quality	Feces	fecal_MAG_487	296	1605664	73	7073	31934	0.27272	71.33	2.21	60.28	NA
Medium-quality	Feces	fecal_MAG_488	578	1986445	141	4096	45815	0.39318	75.21	4.09	54.76	NA
Medium-quality	Feces	fecal_MAG_489	901	1823165	265	2169	23558	0.53942	73.91	9.62	25.81	NA
High-quality	Feces	fecal_MAG_49	251	1936593	52	11475	81589	0.40124	94.98	3.58	77.08	7x
Medium-quality	Feces	fecal_MAG_490	269	1051671	89	4222	22280	0.415	67.82	4.42	45.72	NA
Medium-quality	Feces	fecal_MAG_491	412	2090132	105	6050	41212	0.33573	73.24	8.84	29.04	NA
Medium-quality	Feces	fecal_MAG_492	458	1883810	115	4956	30793	0.47849	74.89	1.61	66.84	NA
Medium-quality	Feces	fecal_MAG_493	666	1492400	189	2512	10482	0.48664	68.41	1.86	59.11	NA
Medium-quality	Feces	fecal_MAG_494	698	1234922	236	1769	10241	0.44812	50.69	0.19	49.74	NA
Medium-quality	Feces	fecal_MAG_495	57	1460618	8	67467	129789	0.36428	54.03	0.81	49.98	NA
Medium-quality	Feces	fecal_MAG_496	312	1422762	73	5757	32721	0.48702	63.08	0.75	59.33	NA
Medium-quality	Feces	fecal_MAG_497	32	1327874	5	104685	207702	0.30015	75.28	1.12	69.68	NA
Medium-quality	Feces	fecal_MAG_498	24	986538	5	57555	163338	0.52525	51.59	1.34	44.89	NA
Medium-quality	Feces	fecal_MAG_499	775	1543010	240	2098	16956	0.44011	55.79	2.15	45.04	NA
High-quality	Feces	fecal_MAG_5	102	2156716	16	39854	166047	0.35689	99.67	0.59	96.72	16x
High-quality	Feces	fecal_MAG_50	476	2925889	123	7180	49976	0.27973	88.19	7.6	50.19	10x
Medium-quality	Feces	fecal_MAG_500	634	1982534	162	3869	32400	0.5406	79.36	5.31	52.81	NA
Medium-quality	Feces	fecal_MAG_501	34	1322037	4	138556	244194	0.48937	51.77	0	51.77	NA
Medium-quality	Feces	fecal_MAG_502	369	2097683	80	6772	54112	0.35343	77.94	4.18	57.04	NA
Medium-quality	Feces	fecal_MAG_503	726	1475375	217	2180	9508	0.40749	68.1	3	53.1	NA
Medium-quality	Feces	fecal_MAG_504	657	1881756	167	3418	17404	0.41497	72.2	6.83	38.05	NA
Medium-quality	Feces	fecal_MAG_505	183	2169476	19	32896	123826	0.43145	75.09	2.39	63.14	NA
Medium-quality	Feces	fecal_MAG_506	335	1748183	83	6394	28745	0.37704	72.64	1.7	64.14	NA
Medium-quality	Feces	fecal_MAG_507	529	1548540	145	3316	17491	0.39427	78.55	3.92	58.95	NA
Medium-quality	Feces	fecal_MAG_508	114	1145122	21	17776	47626	0.36554	66.91	3.24	50.71	NA
Medium-quality	Feces	fecal_MAG_509	234	1918221	52	11057	68002	0.40116	74.84	1.16	69.04	NA
High-quality	Feces	fecal_MAG_51	579	1940875	144	4133	26433	0.57861	91.22	3.3	74.72	3x
Medium-quality	Feces	fecal_MAG_510	520	2746256	142	6326	43328	0.49863	66.86	1.42	59.76	NA
Medium-quality	Feces	fecal_MAG_511	237	1530593	65	7879	22307	0.29164	65.33	0.19	64.38	NA
Medium-quality	Feces	fecal_MAG_512	611	1143615	201	1992	5787	0.31777	53.51	1.09	48.06	NA
Medium-quality	Feces	fecal_MAG_513	820	1902840	240	2578	17369	0.34692	69.92	6.59	36.97	NA
Medium-quality	Feces	fecal_MAG_514	425	3495084	67	15328	104216	0.36736	51.89	7.57	14.04	NA
Medium-quality	Feces	fecal_MAG_515	292	596619	90	2189	7721	0.50166	50.37	0.28	48.97	NA
Medium-quality	Feces	fecal_MAG_516	438	1200661	112	3250	17030	0.529	76.6	1.69	68.15	NA
Medium-quality	Feces	fecal_MAG_517	546	1624304	147	3497	16061	0.48939	76.75	1.72	68.15	NA
Medium-quality	Feces	fecal_MAG_518	627	1746565	154	3318	17754	0.51866	79.13	2.32	67.53	NA
Medium-quality	Feces	fecal_MAG_519	1054	2802538	264	3033	26531	0.48149	79.62	9.09	34.17	NA
High-quality	Feces	fecal_MAG_52	613	2605980	141	5490	27020	0.47336	86.14	3.02	71.04	5x
Medium-quality	Feces	fecal_MAG_520	673	1503204	195	2470	9468	0.51779	66.58	4.58	43.68	NA
Medium-quality	Feces	fecal_MAG_521	595	1382343	182	2574	10240	0.32274	65.66	2.28	54.26	NA
Medium-quality	Feces	fecal_MAG_522	655	1648527	177	2776	14209	0.50748	73.24	2	63.24	NA
Medium-quality	Feces	fecal_MAG_523	581	1360939	172	2522	13265	0.45556	69.54	0.82	65.44	NA
Medium-quality	Feces	fecal_MAG_524	589	1492597	176	2849	10643	0.46189	78.4	1.91	68.85	NA
Medium-quality	Feces	fecal_MAG_525	669	1619830	189	2740	13427	0.44686	70.39	1.11	64.84	NA
Medium-quality	Feces	fecal_MAG_526	745	1339156	247	1865	5745	0.58209	62.17	2.04	51.97	NA
Medium-quality	Feces	fecal_MAG_527	657	1500832	193	2578	12094	0.57782	73.54	3.37	56.69	NA
Medium-quality	Feces	fecal_MAG_528	57	1295978	11	32532	115562	0.49772	66.19	0.84	61.99	NA
Medium-quality	Feces	fecal_MAG_529	29	1279940	6	65020	200725	0.43914	74.05	0	74.05	NA
High-quality	Feces	fecal_MAG_53	232	3557119	26	39670	169265	0.38387	99.33	4.7	75.83	52x
Medium-quality	Feces	fecal_MAG_530	514	966331	165	1911	6012	0.45672	57.08	3.79	38.13	NA
Medium-quality	Feces	fecal_MAG_531	722	1579040	217	2481	10315	0.33812	60.58	9.87	11.23	NA
Medium-quality	Feces	fecal_MAG_532	387	1789450	85	5887	28149	0.45318	76.75	2.68	63.35	NA
Medium-quality	Feces	fecal_MAG_533	1171	2126652	401	1918	9422	0.50936	52.58	4.61	29.53	NA
Medium-quality	Feces	fecal_MAG_534	347	1135085	90	3361	29714	0.35546	52.23	5.57	24.38	NA
Medium-quality	Feces	fecal_MAG_535	251	1586957	65	8088	25790	0.51029	74.04	1.84	64.84	NA
Medium-quality	Feces	fecal_MAG_536	110	2302559	16	32867	239105	0.57737	73.86	3.23	57.71	NA
Medium-quality	Feces	fecal_MAG_537	448	2397559	108	6558	46063	0.46594	76.03	3.73	57.38	NA
Medium-quality	Feces	fecal_MAG_538	208	908545	50	5131	29842	0.29192	62.34	0.81	58.29	NA
Medium-quality	Feces	fecal_MAG_539	605	1468505	177	2737	12522	0.4798	78.56	1.13	72.91	NA
High-quality	Feces	fecal_MAG_54	137	2708044	18	45617	186747	0.52458	99.43	2.25	88.18	39x
Medium-quality	Feces	fecal_MAG_540	480	937643	158	2091	6002	0.42785	61.52	0.38	59.62	NA
Medium-quality	Feces	fecal_MAG_541	475	1087651	143	2616	10501	0.53013	65.47	1.85	56.22	NA
Medium-quality	Feces	fecal_MAG_542	502	1519037	139	3624	15614	0.38458	68.42	2.8	54.42	NA
Medium-quality	Feces	fecal_MAG_543	601	1296671	177	2332	10861	0.49342	64.07	1.87	54.72	NA
Medium-quality	Feces	fecal_MAG_544	348	2466542	64	11888	50397	0.43513	77.23	6.81	43.18	NA
Medium-quality	Feces	fecal_MAG_545	135	1314643	25	15405	79041	0.32736	64.13	2.4	52.13	NA
Medium-quality	Feces	fecal_MAG_546	555	1029238	180	1864	8730	0.45152	54.19	1.34	47.49	NA
Medium-quality	Feces	fecal_MAG_547	322	2364548	64	10353	45809	0.55913	84.25	7.93	44.6	NA
Medium-quality	Feces	fecal_MAG_548	188	1364964	45	8835	37806	0.52721	79.71	5.41	52.66	NA
Medium-quality	Feces	fecal_MAG_549	767	1571923	240	2222	7900	0.44654	64.63	3.03	49.48	NA
High-quality	Feces	fecal_MAG_55	349	2510405	70	9669	49339	0.565	96.34	6.97	61.49	37x
Medium-quality	Feces	fecal_MAG_550	502	1254856	142	2847	17792	0.48105	63.1	1.68	54.7	NA
Medium-quality	Feces	fecal_MAG_551	540	1373432	163	2926	10435	0.34075	67.71	3.26	51.41	NA
Medium-quality	Feces	fecal_MAG_552	585	2135301	155	4215	48568	0.44607	74.61	2.47	62.26	NA
Medium-quality	Feces	fecal_MAG_553	296	538707	99	1909	24959	0.43766	50.58	0	50.58	NA
Medium-quality	Feces	fecal_MAG_554	283	1237683	78	4765	18858	0.44873	68.82	2.16	58.02	NA
Medium-quality	Feces	fecal_MAG_555	86	1547571	20	25485	73169	0.56775	64.86	1.07	59.51	NA
Medium-quality	Feces	fecal_MAG_556	67	953310	10	26785	152241	0.29583	59.43	0	59.43	NA
Medium-quality	Feces	fecal_MAG_557	43	1600958	8	56810	137955	0.37857	75.77	0	75.77	NA
Medium-quality	Feces	fecal_MAG_558	144	1090909	37	9605	29734	0.36584	64.02	0.7	60.52	NA
Medium-quality	Feces	fecal_MAG_559	242	1933539	42	14049	61972	0.3367	82.39	9.6	34.39	NA
High-quality	Feces	fecal_MAG_56	103	2076422	9	67831	278093	0.43853	94.63	1.34	87.93	25x
Medium-quality	Feces	fecal_MAG_560	440	1705124	117	4840	14572	0.38028	69.8	3.69	51.35	NA
Medium-quality	Feces	fecal_MAG_561	243	1788696	54	9986	75858	0.39313	76.46	2.77	62.61	NA
Medium-quality	Feces	fecal_MAG_562	624	1760805	170	3325	14929	0.51249	77.73	3.16	61.93	NA
Medium-quality	Feces	fecal_MAG_563	95	1692360	20	26936	156913	0.28482	68.67	2.67	55.32	NA
Medium-quality	Feces	fecal_MAG_564	592	1142292	197	2103	6425	0.46994	57.22	2.01	47.17	NA
Medium-quality	Feces	fecal_MAG_565	697	1330211	226	2049	7895	0.47292	53.57	0.67	50.22	NA
Medium-quality	Feces	fecal_MAG_566	141	1384438	24	17463	55571	0.45772	64.49	0.21	63.44	NA
Medium-quality	Feces	fecal_MAG_567	636	1893537	179	3137	18039	0.61004	56.64	6.81	22.59	NA
Medium-quality	Feces	fecal_MAG_568	336	1850744	84	6750	45362	0.43231	76.2	3.64	58	NA
Medium-quality	Feces	fecal_MAG_569	45	1086847	10	44170	72161	0.50612	55.08	0	55.08	NA
